hidden_dim,dropout,lr,nhead,num_layers,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_val_loss_mean,fold_r2_scores
128,0.2,0.0005,4,2,0.387486931923497,0.0216388872753336,1.7291325424090584,0.056296496300025,0.3713072001934051,"[0.3533426526966324, 0.4136004008382439, 0.3753752912432884, 0.40604082044296314, 0.3890754943963574]"
128,0.2,0.0005,8,2,0.3869680036611072,0.0209864500589007,1.725627099074707,0.0363809442150153,0.3680345296859741,"[0.3451289893907104, 0.3998800550128576, 0.39633939100831866, 0.39502851506131803, 0.39846306783233126]"
128,0.2,0.0005,4,4,0.3831435983910534,0.0260363837866679,1.7518540669261828,0.0568277229745809,0.3825295329093933,"[0.3624766045345851, 0.4165914596429059, 0.3445981101415056, 0.39962589755224487, 0.3924259200840254]"
128,0.2,0.0005,8,4,0.3798999180837287,0.0104436470057997,1.7441917212538125,0.04309832207078,0.3760752201080322,"[0.3601613349907602, 0.38810600915677895, 0.38851882467722937, 0.3835778793863889, 0.3791355422074863]"
128,0.3,0.0005,8,4,0.3735922305597717,0.0167039393565253,1.7621235601546386,0.0418692124488403,0.3774478495121002,"[0.34045134046787306, 0.37792510394880163, 0.3826927091861548, 0.38415428008496494, 0.3827377191110643]"
128,0.3,0.0005,8,2,0.3721922384169734,0.0254228353559821,1.7700843135167872,0.0617165170875136,0.3795475900173187,"[0.33238184824281297, 0.38824733126768596, 0.35658223693787566, 0.3782645223871, 0.40548525324939283]"
128,0.3,0.0005,4,4,0.3610855976569518,0.0229874608886413,1.7937343063130178,0.0170414197382629,0.4018947839736938,"[0.34456417775504516, 0.3968863145603492, 0.3797061116980294, 0.3454932777620221, 0.3387781065093134]"
128,0.3,0.0005,4,2,0.3574942007415952,0.0249177445470713,1.7976178332195878,0.0332356952492846,0.3816820740699768,"[0.31902977250599274, 0.39645000583859913, 0.3612186017334254, 0.36189190256894266, 0.3488807210610166]"
128,0.2,0.001,8,2,0.336251005554214,0.024269410678574,1.8443099433412784,0.0362241623149033,0.4321631848812103,"[0.29993583362908327, 0.3700270757674675, 0.33763307582135, 0.35236701404920784, 0.3212920285039616]"
256,0.2,0.0005,4,2,0.3320774887278713,0.0183498144956093,1.844070347961608,0.0632140294182804,0.4373057425022125,"[0.3161161541821406, 0.3613025580311433, 0.3092165078625762, 0.3351395100276304, 0.33861271353586586]"
256,0.2,0.0005,8,2,0.3275908373045849,0.021615755919926,1.8717075105251344,0.0323020157530153,0.4392877280712127,"[0.28690375377258587, 0.3327025245753927, 0.3504664568810272, 0.3389756174991907, 0.3289058337947278]"
128,0.2,0.001,4,2,0.32745943404853,0.024323107494816,1.8464880633405176,0.0578992924557073,0.4485718429088592,"[0.30209947561109446, 0.3632728050319627, 0.33336686756441036, 0.29849913679754775, 0.3400588852376351]"
256,0.3,0.0005,8,2,0.3138835318845957,0.0133964115665553,1.9147118741816889,0.0612299985484989,0.4676430761814117,"[0.319844236285131, 0.335520444456777, 0.30585791108382293, 0.3123948564204347, 0.29580021117681293]"
256,0.3,0.0005,4,2,0.3124253629686327,0.0061634811224753,1.9185182367110127,0.0801661496269509,0.4459276974201202,"[0.3011848352819752, 0.3181280470551948, 0.31783644672877076, 0.3115441350911192, 0.31343335068610373]"
128,0.3,0.001,8,2,0.3076213864271441,0.0172285996238818,1.9251446300116668,0.0397054433972661,0.4678905367851257,"[0.28294404436761234, 0.32598176485920255, 0.3279044252476504, 0.2968225117163312, 0.3044541859449244]"
128,0.3,0.001,4,2,0.3055102509019153,0.0142547611490091,1.8885517796989224,0.0641466836321414,0.4776866912841797,"[0.2922462980759342, 0.3264171684536647, 0.2870134105003544, 0.3099566231995724, 0.3119177542800511]"
256,0.2,0.001,8,2,0.2878167808587777,0.0152367605152364,1.935661265407639,0.0620693343104391,0.5434462130069733,"[0.2806318302987971, 0.29565359775281813, 0.31099624666601833, 0.28654304390106905, 0.2652591856751863]"
256,0.2,0.001,4,2,0.2629586133278234,0.0257623570066586,2.0001086940027446,0.0452074745187791,0.5841426253318787,"[0.244938105649834, 0.29909577904752876, 0.2770102185755661, 0.22481756034422182, 0.26893140302196633]"
256,0.3,0.001,8,2,0.2566307007219413,0.024147897049444,2.027091171891743,0.0657389920130672,0.5824336409568787,"[0.23489420815865256, 0.29674050276894876, 0.22862213508930665, 0.26013788974335345, 0.2627587678494451]"
256,0.3,0.001,4,2,0.2353997212823876,0.0095419716215159,2.071541628441735,0.0481847607221188,0.5975549459457398,"[0.22248129654174742, 0.2362306737797557, 0.25201994557617646, 0.23389661327854372, 0.23237007723571482]"
128,0.2,0.001,8,4,0.0772358459460138,0.0634478967144017,2.494677625323484,0.2461378941103907,0.8687114238739013,"[0.11926243950538777, 0.0, 0.0, 0.1408489821556446, 0.1260678080690368]"
256,0.3,0.0005,4,4,0.062966990735115,0.0885708552433415,2.606252549091391,0.3651365367630852,0.9999329924583436,"[0.22629297166691512, 0.08854198200866024, 0.0, 0.0, 0.0]"
256,0.2,0.0005,8,4,0.048520072742595,0.0970401454851901,2.589619251189908,0.3427046339049344,0.95139741897583,"[0.24260036371297547, 0.0, 0.0, 0.0, 0.0]"
128,0.2,0.001,4,4,0.0437744486896908,0.0730484900129059,2.5748075140941227,0.2713159353915967,0.9517107009887696,"[0.030985845178569477, 0.0, 0.0, 0.0, 0.18788639826988462]"
256,0.2,0.0005,4,4,0.0430347078590312,0.052845502894465,2.592919700328944,0.2436200605367622,0.9269859910011292,"[0.11364235702632698, 0.0, 0.0, 0.0, 0.10153118226882935]"
256,0.3,0.0005,8,4,0.0402065674100156,0.0804131326329923,2.6272245043144737,0.3239108071925223,0.9684314131736756,"[0.20103283267600025, 0.0, 0.0, 1.2377294645392728e-09, 3.1363483229527794e-09]"
128,0.3,0.001,4,4,0.0189375003029578,0.0249905262662438,2.716357636929684,0.0929118675200853,0.9837470889091492,"[0.032631253817969864, 0.0, 0.0, 0.062056247696819306, 0.0]"
128,0.3,0.001,8,4,0.014216471450282,0.0284329429005641,2.727482521580675,0.0400298507438185,1.0397328972816466,"[0.0, 0.07108235725141028, 0.0, 0.0, 0.0]"
256,0.2,0.001,4,4,0.002691834442262,0.005383668884524,2.741812941747554,0.066302604424015,1.0263587951660156,"[0.0, 0.0, 0.0, 0.013459172211310079, 0.0]"
256,0.3,0.001,8,4,1.0178448715284205e-07,2.0356897430568405e-07,2.771917531936712,0.0836965061758171,1.0745797872543337,"[0.0, 5.089224357642101e-07, 0.0, 0.0, 0.0]"
256,0.2,0.001,8,4,0.0,0.0,2.7548489014327564,0.051054567755655,1.026186394691467,"[0.0, 0.0, 0.0, 0.0, 0.0]"
256,0.3,0.001,4,4,0.0,0.0,2.7441849994642817,0.0692163396876401,1.0348758101463318,"[0.0, 0.0, 0.0, 0.0, 0.0]"
